Option_Simplified,Option_STD,COUNT_ALL
SPORT STEERING WHEEL W/PADDLES,SPT STEERING WHEEL,3
VALUE PKG -INC: IPOD & USB ADAPTER DA,VALUE PKG -INC,1
8-WAY PWR FRONT BUCKET SEATS -INC: DRIV,8-WAY PWR FRONT BUCKET SEATS -,2
ANTI-THEFT ALARM SYSTEM,ANTI-THEFT ALARM SYS,11
BMW ASSIST W/BLUETOOTH -INC: (4) YEAR S,BMW ASSIST,2
COLD WEATHER PKG -INC: REAR THROUGH-LOA,COLD WEATHER PKG -INC,2
IPOD & USB ADAPTER,IPOD & USB ADAPTER,4
LIGHT BURL WALNUT TRIM,LIGHT BURL WALNUT TRIM,2
PREMIUM HI-FI SOUND SYSTEM -INC: UPGRAD,PREM HI-FI SOUND SYS -INC,1
SPORT PKG -INC: 17 X 7.0 FRONT & 1,SPT PKG -INC,1
SPORT STEERING WHEEL-MOUNTED SHIFT PADDL,SPT STEERING WHEEL-MOUNTED SHI,1
TAUPE SOFT TOP,TAUPE SOFT TOP,2
XENON AUTOMATIC HEADLIGHTS -INC: ADAPTI,XENON AUTOMATIC HEADLIGHTS -IN,1
M SPORT STEERING WHEEL-MOUNTED SHIFT PAD,M SPT STEERING WHEEL-MOUNTED S,1
NAVIGATION SYSTEM -INC: HARD DRIVE HD,NAV -INC,1
SPORT PKG -INC: 8-WAY MANUAL FRONT SPOR,SPT PKG -INC,1
CORAL RED & BLACK DAKOTA LEATHER SEAT T,CORAL RED & BLACK DAKOTA LEATH,1
GRAY POPLAR WOOD INTERIOR TRIM,GRAY POPLAR WOOD INTERIOR TRIM,1
PREMIUM PKG -INC: DAKOTA LEATHER SEAT T,PREM PKG -INC,53
BLACK BOSTON LEATHER SEAT TRIM,BLACK BOSTON LEATHER SEAT TRIM,2
M SPORT PKG -INC: 17 X 7.0 FRONT &,M SPT PKG -INC,1
PREMIUM PKG -INC: UNIVERSAL GARAGE-DOOR,PREM PKG -INC,8
TAUPE BOSTON LEATHER SEAT TRIM,TAUPE BOSTON LEATHER SEAT TRIM,2
HARMAN/KARDON SURROUND SOUND -INC: IPOD,HARMAN/KARDON SURROUND SOUND -,2
NAVIGATION SYSTEM -INC: BWM ASSIST W/EN,NAV -INC,4
MANUAL SIDE SUNSHADES W/PWR REAR SUNSHA,MANUAL SIDE SUNSHADES,1
PREMIUM PKG -INC: BOSTON LEATHER SEAT T,PREM PKG -INC,1
SPORT PKG -INC: 18 X 8.0 FRONT CRO,SPT PKG -INC,1
CORAL RED/BLACK DAKOTA LEATHER SEAT TRI,CORAL RED/BLACK DAKOTA LEATHER,2
ALUMINUM TRIM,ALUMINUM TRIM,8
NAVIGATION SYSTEM -INC: CONTROLLER W/FO,NAV -INC,3
SPORT PKG -INC: SPORT SUSPENSION ACTI,SPT PKG -INC,1
SPORT PKG -INC: ACTIVE ROLL STABILIZAT,SPT PKG -INC,1
PREMIUM PKG -INC: DAKOTA LEATHER SEAT &,PREM PKG -INC,1
HIGH OUTPUT,HIGH OUTPUT,21
6-SPEED STEPTRONIC SPORT AUTOMATIC TRANS,6-SPEED STEPTRONIC SPT AUTOMAT,1
M SPORT PKG -INC: SPORT SUSPENSION AC,M SPT PKG -INC,1
NAVIGATION SYSTEM -INC: HARD DRIVE CON,NAV -INC,1
6-SPOKE WHEEL COVERS,6-SPOKE WHEEL COVERS,3
7-SPEED AUTOMATIC TRANSMISSION W/SHIFT P,7-SPEED AUTOMATIC TRANSMISSION,2
AIRGUIDE WINDSTOP,AIRGUIDE WINDSTOP,1
BENGAL RED/BLACK PREMIUM LEATHER SEAT U,BENGAL RED/BLACK PREM LEATHER ,1
LIGHTING PKG -INC: HEADLAMP WASHING SYS,LIGHTING PKG -INC,4
MULTIMEDIA PKG -INC: COMAND NAVIGATION,MULTIMEDIA PKG -INC,3
SPORT PKG 1 -INC: SPORT BODY STYLING,SPT PKG 1 -INC,3
BLACK LEATHER SEAT UPHOLSTERY,BLACK LEATHER SEAT UPHOLSTERY,1
CHROME HOOD VENT FINS,CHROME HOOD VENT FINS,1
MAGIC SKY CONTROL PANORAMIC ROOF,MAGIC SKY CONTROL PANORAMIC RO,1
7-SPEED DOUBLE CLUTCH AUTOMATIC TRANSMIS,7-SPEED DOUBLE CLUTCH AUTOMATI,3
M SPORT PKG -INC: 18 X 7.5 FRONT &,M SPT PKG -INC,2
LE MANS BLUE METALLIC,LE MANS BLUE METALLIC,1
COMPETITION PKG -INC: DYNAMIC DAMPER C,COMPETITION PKG -INC,3
CONVENIENCE PKG -INC: ANTI-THEFT ALARM,CONVENIENCE PKG -INC,1
PREMIUM PKG 2 -INC: PWR FOLDING EXTERIO,PREM PKG 2 -INC,1
BLACK NOVILLO LEATHER SEAT TRIM,BLACK NOVILLO LEATHER SEAT TRI,1
7-SPOKE WHEEL COVER,7-SPOKE WHEEL COVER,1
821A EQUIPMENT GROUP ORDER CODE -INC: T,821A EQUIPMENT GROUP ORDER COD,1
CERAMIC CONTROLS,CERAMIC CONTROLS,1
EXECUTIVE PKG -INC: PWR TAILGATE OPEN/C,EXECUTIVE PKG -INC,1
LUXURY SEATING PKG -INC: FRONT VENTILAT,LUX SEATING PKG -INC,6
PARKING ASSISTANT,PARKING ASSISTANT,1
EVEREST GRAY DAKOTA LEATHER SEAT TRIM,EVEREST GRAY DAKOTA LEATHER SE,1
BMW ASSIST W/ENHANCED BLUETOOTH & USB -,BMW ASSIST,1
MODERN LINE -INC: SPORTS LEATHER STEER,MODERN LINE -INC,2
CASHMERE SILVER METALLIC,CASHMERE SILVER METALLIC,2
M SPORT PKG -INC: 18 X 8.0 DOUBLE-,M SPT PKG -INC,1
COMFORT ACCESS KEYLESS ENTRY W/MULTI-FU,COMFORT ACCESS KEYLESS ENTRY,1
PREMIUM PKG -INC: PWR TRUNK LID OPEN/CL,PREM PKG -INC,1
TECHNOLOGY PKG -INC: REAR-VIEW CAMERA,TECH -INC,2
PREMIUM PKG -INC: INTEGRATED 3-BUTTON U,PREM PKG -INC,2
SPORT PKG -INC: DYNAMIC DAMPER CONTROL,SPT PKG -INC,1
TECHNOLOGY PKG -INC: HEAD-UP DISPLAY B,TECH -INC,1
SIDE-VIEW & TOP-VIEW CAMERAS,SIDE-VIEW & TOP-VIEW CAMERAS,1
PREMIUM PKG 2 -INC: REAR-VIEW CAMERA P,PREM PKG 2 -INC,1
SPLIT FOLD-DOWN REAR SEAT,SPLIT FOLD-DOWN REAR SEAT,1
SPORT PKG -INC: 19 ALLOY WHEELS (STY,SPT PKG -INC,1
BEIGE KANSAS LEATHER SEAT TRIM,BEIGE KANSAS LEATHER SEAT TRIM,1
BMW ASSIST -INC: BLUETOOTH COMBOX CONT,BMW ASSIST -INC,3
MULTI-FUNCTION SPORT STEERING WHEEL W/AU,MULTI-FUNCTION SPT STEERING WH,2
NAVIGATION SYSTEM -INC: 8.8 FOLDING,NAV -INC,2
PREMIUM SOUND PKG -INC: PREMIUM HI-FI S,PREM SOUND PKG -INC,3
BLACK KANSAS LEATHER SEAT TRIM,BLACK KANSAS LEATHER SEAT TRIM,1
M SPORT PKG -INC: 18.0 X 8.0 FRONT,M SPT PKG -INC,1
WALNUT KANSAS LEATHER SEAT TRIM,WALNUT KANSAS LEATHER SEAT TRI,1
NAVIGATION SYSTEM -INC: BMW ASSIST W/EN,NAV -INC,6
SPORT PKG -INC: 18 X 8.0 FRONT & 1,SPT PKG -INC,1
LUXURY LINE -INC: SPORTS LEATHER STEER,LUX LINE -INC,3
NAVIGATION DISPLAY AM/FM STEREO W/CD PL,NAV DISPLAY AM/FM STEREO,23
CARPETED FLOOR & TRUNK MAT SET,CARPETED FLOOR & TRUNK MAT SET,27
CONVENIENCE PKG -INC: SMART KEY SYSTEM,CONVENIENCE PKG -INC,20
PWR TILT/SLIDE MOONROOF -INC: PINCH PRO,PWR TILT/SLIDE MOON -INC,31
8-WAY PWR FRONT SEATS W/DRIVER SEAT MEMO,8-WAY PWR FRONT SEATS,1
ACCESSORY PACKAGE 5 -INC: PRE-INSTALLED,ACCESSORY PKG 5 -INC,2
CHARCOAL BLACK/CASHMERE PREMIER LEATHER,CHARCOAL BLACK/CASHMERE PREM L,15
EQUIPMENT GROUP 400A,EQUIPMENT GROUP 400A,18
GT TRACK PACKAGE -INC: 14 BREMBO VEN,GT TRACK PKG -INC,18
OVER THE TOP RACING STRIPES,OVER THE TOP RACING STRIPES,1
EQUIPMENT GROUP 401A,EQUIPMENT GROUP 401A,5
RADIO: VOICE-ACTIVATED NAVIGATION PACKAG,RADIO,11
ACCESSORY REAR SEAT ENTERTAINMENT SYSTEM,ACCESSORY REAR SEAT ENTERTAINM,1
PREMIUM 1 PKG -INC: COMAND HARD DRIVE N,PREM 1 PKG -INC,18
ACCESSORY TOW HITCH & WIRE HARNESS,ACCESSORY TOW HITCH & WIRE HAR,1
ACTIVE CRUISE CONTROL,ACTIVE CRUISE CONTROL,1
ADAPTIVE RIDE PKG -INC: SELF-LEVELING R,ADAPTIVE RIDE PKG -INC,1
COMFORT ACCESS,COMFORT ACCESS,1
CONVENIENCE PKG -INC: AUTO SOFT CLOSE D,CONVENIENCE PKG -INC,1
PREMIUM SOUND PKG -INC: 6-DISC IN-DASH,PREM SOUND PKG -INC,1
PWR REAR SUNSHADE & REAR SIDE WINDOW SHA,PWR REAR SUNSHADE & REAR SIDE ,1
ACTIVE MULTICONTOUR DRIVER SEAT -INC: M,ACTIVE MULTICONTOUR DRIVER SEA,2
LANE TRACKING PACKAGE -INC: BLIND SPOT,LANE TRACKING PKG -INC,2
PARKTRONIC -INC: ACTIVE PARKING ASSIST.,PARKTRONIC -INC,2
PREMIUM 1 PACKAGE -INC: REARVIEW CAMERA,PREM 1 PKG -INC,12
WHEEL PACKAGE -INC: TIRES: 18 AS 3-,WHEEL PKG -INC,2
SPLIT-FOLDING REAR SEAT,SPLIT-FOLDING REAR SEAT,1
COMFORT BOX,COMFORT BOX,12
LANE TRACKING PACKAGE -INC: LANE KEEPIN,LANE TRACKING PKG -INC,7
LUNAR BLUE METALLIC,LUNAR BLUE METALLIC,1
DESIGNO GRAPHITE,DESIGNO GRAPHITE,1
WHEEL PKG PLUS ONE -INC: 19 5-SPOKE,WHEEL PKG + ONE -INC,2
WHEEL PKG -INC: 18 5-SPOKE ALLOY WHE,WHEEL PKG -INC,6
PREMIUM 1 PKG -INC: COMAND SYSTEM HARD,PREM 1 PKG -INC,10
ACTIVE STEERING,ACTIVE STEERING,1
ADAPTIVE DRIVE,ADAPTIVE DRIVE,1
SMOKER PKG,SMOKER PKG,2
PRESTIGE PKG -INC: AUDI ADAPTIVE LIGHT,PRESTIGE PKG -INC,1
STONE GUARDS SUPERCHARGED BADGES,STONE GUARDS SUPERCHARGED BADG,1
ADVANCED AUDIO PACKAGE INCLUDES (UMU) A,ADVANCED AUDIO PKG INCLUDES (U,1
TRANSMISSION 5-SPEED MANUAL (STD),TRANSMISSION 5-SPEED MANUAL (S,6
ADVANCED SAFETY PACKAGE INCLUDES (UEU),ADVANCED SAFETY PKG INCLUDES (,19
ASHEN GRAY METALLIC,ASHEN GRAY METALLIC,18
CONVENIENCE PACKAGE INCLUDES (UD7) REAR,CONVENIENCE PKG INCLUDES (UD7),6
ENGINE 3.6L DOHC V6 DI WITH VARIABLE VA,ENGINE 3.6L DOHC V6 DI WITH VA,10
JET BLACK/DARK TITANIUM SUEDED MICROFIB,JET BLACK/DARK TITANIUM SUEDED,1
LPO WHEEL LOCKS,LPO WHEEL LOCKS,7
PREMIUM AUDIO AND SPORT WHEELS PACKAGE,PREM AUDIO AND SPT WHEELS PKG,3
PREMIUM SEATING PACKAGE INCLUDES (KA1),PREM SEATING PKG INCLUDES (KA1,3
BLUE RAY METALLIC,BLUE RAY METALLIC,14
JET BLACK/BROWNSTONE SUEDED MICROFIBER,JET BLACK/BROWNSTONE SUEDED MI,1
LPO TRUNK ORGANIZER,LPO TRUNK ORGANIZER,2
NAVIGATION PACKAGE INCLUDES (IO6) CHEVR,NAV PKG INCLUDES (IO6) CHEVR,1
JET BLACK SUEDED MICROFIBER SEAT TRIM,JET BLACK SUEDED MICROFIBER SE,1
ELECTRONICS AND ENTERTAINMENT PACKAGE I,ELECTRONICS AND ENTERTAINMENT ,15
ENGINE 2.5L DOHC 4-CYLINDER SIDI WITH V,ENGINE 2.5L DOHC 4-CYLINDER SI,104
LTZ PREMIUM PACKAGE INCLUDES (A45) DRIV,LTZ PREM PKG INCLUDES (A45) DR,9
ELECTRONICS AND ENTERTAINMENT PACKAGE,ELECTRONICS AND ENTERTAINMENT ,9
ENGINE 2.0L TURBO DOHC 4-CYLINDER SIDI,ENGINE 2.0L TURBO DOHC 4-CYLIN,11
WHITE DIAMOND TRICOAT,WHITE DIAMOND TRICOAT,47
LEATHER PACKAGE INCLUDES (EBF) LEATHER-,LEATHER PKG INCLUDES (EBF) LEA,15
PREFERRED EQUIPMENT GROUP INCLUDES STAN,PREFERRED EQUIPMENT GROUP INCL,41
LPO CHROME DOOR HANDLES,LPO CHROME DOOR HANDLES,1
LPO FRONT AND REAR SPLASH GUARDS,LPO FRONT AND REAR SPLASH GUAR,31
ADVANCED TECHNOLOGY GROUP -INC: ADVANCE,ADVANCED TECH GROUP -INC,4
ENGINE: 5.7L V8 MDS VVT -INC: 230MM REA,ENGINE,5
QUICK ORDER PACKAGE 27P -INC: ENGINE: 5,QUICK ORDER PKG 27P -INC,5
TRANSMISSION: 8-SPEED AUTOMATIC (8HP70),TRANSMISSION,19
ENGINE: 5.7L V8 MDS VVT -INC: 3.09 REAR,ENGINE,14
TRUE BLUE PEARLCOAT,TRUE BLUE PEARLCOAT,7
AIR BAG FRONTAL DRIVER-SIDE ONLY (DEL,AIR BAG FRONTAL DRIVER-SIDE ON,1
AUDIO SYSTEM AM/FM STEREO WITH SEEK-AN,AUDIO SYS AM/FM STEREO WITH SE,5
CONVENIENCE PACKAGE TILT-WHEEL AND (K34,CONVENIENCE PKG TILT-WHEEL AND,10
DIFFERENTIAL HEAVY-DUTY LOCKING REAR,DIFFERENTIAL HEAVY-DUTY LOCKIN,13
ENGINE VORTEC 6.0L V8 SFI FLEXFUEL (32,ENGINE VORTEC 6.0L V8 SFI FLEX,10
LIGHTING AUXILIARY WITH READING AND UN,LIGHTING AUXILIARY WITH READIN,2
SEATS FRONT BUCKET WITH CUSTOM CLOTH TR,SEATS FRONT BUCKET WITH CUSTOM,8
TRAILERING EQUIPMENT HEAVY-DUTY INCLUD,TRAILERING EQUIPMENT HEAVY-DUT,9
AIR BAGS DUAL-STAGE FRONTAL AND SIDE-IM,AIR BAGS DUAL-STAGE FRONTAL AN,1
AIR CONDITIONING SINGLE-ZONE AUTOMATIC,AIR CONDITIONING SINGLE-ZONE A,3
AUDIO SYSTEM AM/FM STEREO WITH 6-DISC I,AUDIO SYS AM/FM STEREO WITH 6-,4
EBONY NUANCE LEATHER-APPOINTED SEATS (A,EBONY NUANCE LEATHER-APPOINTED,1
ENGINE 3.9L V6 SFI (SEDAN AND COUPE 24,ENGINE 3.9L V6 SFI (SEDAN AND ,1
PREMIUM PACKAGE INCLUDES FRONT BUCKET,PREM PKG INCLUDES FRONT BUCKET,1
REMOTE VEHICLE STARTER SYSTEM INCLUDED,REMOTE VEHICLE STARTER SYS INC,1
SEATS HEATED DRIVER AND FRONT PASSENGE,SEATS HEATED DRIVER AND FRONT ,2
SPORT PACKAGE INCLUDES (LZ9) 3.9L V6,SPT PKG INCLUDES (LZ9) 3.9L V6,1
STABILITRAK DYNAMIC CONTROL SYSTEM (DCS,STABILITRAK DYNAMIC CONTROL SY,1
WHEELS 18 (45.7 CM) 5-SPOKE FLANGEL,WHEELS 18 (45.7 CM) 5-SPOKE FL,1
XM SATELLITE RADIO. WITH A WIDE VARIETY,XM SATELLITE RADIO. WITH A WID,6
8 SPEAKER MONSOON PREMIUM SOUND SYSTEM,8 SPEAKER MONSOON PREM SOUND S,1
AIR BAGS FRONTAL AND SIDE-IMPACT DRIVE,AIR BAGS FRONTAL AND SIDE-IMPA,1
BRAKES 4-WHEEL ANTILOCK 4-WHEEL DISC,BRAKES 4-WHEEL ANTILOCK 4-WHEE,1
CXL PREFERRED EQUIPMENT GROUP INCLUDE,CXL PREFERRED EQUIPMENT GROUP ,1
ENGINE 3.4L 3400 V6 SFI (185 HP [138.0,ENGINE 3.4L 3400 V6 SFI (185 H,1
MEMORY PACKAGE INCLUDES DRIVER SEAT AN,MEMORY PKG INCLUDES DRIVER SEA,1
REAR PARKING ASSIST ULTRASONIC INCLUD,REAR PARKING ASSIST ULTRASONIC,1
SEAT ADJUSTER POWER DRIVER 6-WAY,SEAT ADJUSTER POWER DRIVER 6-W,7
SEAT ADJUSTER POWER FRONT PASSENGER 6-,SEAT ADJUSTER POWER FRONT PASS,2
SEATS INCLUDES HEAD RESTRAINT 1ST ROW,SEATS INCLUDES HEAD RESTRAINT ,1
SEATS 3RD ROW 2 PASSENGER FLIP-FOLD B,SEATS 3RD ROW 2 PASSENGER FLIP,1
SOUND SYSTEM FEATURE REAR AUDIO CONTROL,SOUND SYS FEATURE REAR AUDIO C,2
SOUND SYSTEM ETR AM/FM STEREO WITH CASS,SOUND SYS ETR AM/FM STEREO WIT,1
STEERING WHEEL MOUNTED RADIO CONTROLS,STEERING WHEEL MOUNTED RADIO C,1
SUNROOF POWER TILT-SLIDING INCLUDES,SUN POWER TILT-SLIDING INCLUDE,1
TIRE INFLATION MONITOR,TIRE INFLATION MONITOR,1
TIRES P225/60R17 ALL-SEASON BLACKWALL,TIRES P225/60R17 ALL-SEASON BL,1
TRACTION CONTROL ALL-SPEED,TRACTION CONTROL ALL-SPEED,1
WHEELS 17 (43.2 CM) ALUMINUM CHROME,WHEELS 17 (43.2 CM) ALUMINUM C,1
AIR BAGS HEAD CURTAIN SIDE-IMPACT FRON,AIR BAGS HEAD CURTAIN SIDE-IMP,15
ALTERNATOR DUAL 125 AMPS EACH,ALTERNATOR DUAL 125 AMPS EACH,4
AUDIO SYSTEM AM/FM STEREO WITH MP3 COMP,AUDIO SYS AM/FM STEREO WITH MP,93
BLUETOOTH FOR PHONE PERSONAL CELL PHONE,BLUETOOTH FOR PHONE PERSONAL C,52
DARK TITANIUM VINYL SEAT TRIM (STD),DARK TITANIUM VINYL SEAT TRIM ,2
ENGINE DURAMAX 6.6L TURBO DIESEL V8 B2,ENGINE DURAMAX 6.6L TURBO DIES,32
GLASS SOLAR-RAY DEEP-TINTED (ALL WINDO,GLASS SOLAR-RAY DEEP-TINTED (A,26
GVWR 10 000 LBS. (4536 KG),GVWR 10 000 LBS. (4536 KG),13
LPO ASSIST STEPS CHROMED TUBULAR 6,LPO ASSIST STEPS CHROMED TUBUL,22
LPO PROTECTION PACKAGE INCLUDES REAR W,LPO PROTECTION PKG INCLUDES RE,82
MIRRORS OUTSIDE HIGH-VISIBILITY VERTICA,MIRRORS OUTSIDE HIGH-VISIBILIT,22
ONSTAR 6 MONTHS OF DIRECTIONS AND CONNE,ONSTAR 6 MONTHS OF DIRECTIONS ,15
SKID PLATE PACKAGE FRAME-MOUNTED SHIELD,SKID PLATE PKG FRAME-MOUNTED S,58
SWITCH HIGH IDLE,SWITCH HIGH IDLE,8
TRAILERING EQUIPMENT HEAVY-DUTY INCLU,TRAILERING EQUIPMENT HEAVY-DUT,80
TRAILERING WIRING PROVISIONS FOR CAMPER,TRAILERING WIRING PROVISIONS F,48
TRANSMISSION ALLISON 1000 6-SPEED AUTOM,TRANSMISSION ALLISON 1000 6-SP,31
WHEELS 18 (45.7 CM) PAINTED STEEL (,WHEELS 18 (45.7 CM) PAINTED ST,2
AUDIO SYSTEM WITH NAVIGATION AM/FM/SIRI,AUDIO SYS WITH NAV AM/FM/SIRI,20
ENGINE VORTEC 6.0L VARIABLE VALVE TIMIN,ENGINE VORTEC 6.0L VARIABLE VA,88
GVWR 9500 LBS. (4309 KG),GVWR 9500 LBS. (4309 KG),67
LAMPS SMOKED AMBER ROOF MARKER,LAMPS SMOKED AMBER ROOF MARKER,68
LPO ASSIST STEPS CHROMED TUBULAR 3,LPO ASSIST STEPS CHROMED TUBUL,7
LPO CHROME DECAL Z71,LPO CHROME DECAL Z71,19
LTZ PLUS PACKAGE INCLUDES (UG1) UNIVERS,LTZ + PKG INCLUDES (UG1) UNIVE,39
REAR VISION CAMERA,REAR VISION CAMERA,137
SEATS HEATED AND COOLED DRIVER AND FRO,SEATS HEATED AND COOLED DRIVER,7
SNOW PLOW PREP PACKAGE INCLUDES 10-AMP,SNOW PLOW PREP PKG INCLUDES 10,61
SUSPENSION PACKAGE OFF-ROAD INCLUDES 3,SUSPENSION PKG OFF-ROAD INCLUD,51
TRANSMISSION 6-SPEED AUTOMATIC HEAVY-D,TRANSMISSION 6-SPEED AUTOMATIC,134
WHEELS 20 (50.8 CM) FORGED POLISHED,WHEELS 20 (50.8 CM) FORGED POL,26
Z71 APPEARANCE PACKAGE INCLUDES (PYV),Z71 APPEARANCE PKG INCLUDES (P,23
MIRRORS OUTSIDE HEATED POWER-ADJUSTABLE,MIRRORS OUTSIDE HEATED POWER-A,57
SUNROOF POWER RETRACTS INTO ROOF INCL,SUN POWER RETRACTS INTO ROOF I,12
BLUE RAY METALLIC EDITION INCLUDES (GXH,BLUE RAY METALLIC EDITION INCL,1
LPO ALL-WEATHER FLOOR MATS EBONY DEEP,LPO ALL-WEATHER FLOOR MATS EBO,14
EBONY PREMIUM CLOTH SEAT TRIM,EBONY PREM CLOTH SEAT TRIM,80
LPO WHEEL THEFT-DETERRENT SYSTEM SECUR,LPO WHEEL THEFT-DETERRENT SYS ,2
SLT CONVENIENCE PACKAGE INCLUDES (JF4),SLT CONVENIENCE PKG INCLUDES (,3
AIR BAGS SIDE HEAD CURTAIN FIRST AND S,AIR BAGS SIDE HEAD CURTAIN FIR,1
BODY LIFTGATE WITH LIFTGLASS INCLUDES,BODY LIFTGATE WITH LIFTGLASS I,2
CUSTOMER DIALOGUE NETWORK,CUSTOMER DIALOGUE NETWORK,1
DENALI PREFERRED EQUIPMENT GROUP INCLUD,DENALI PREFERRED EQUIPMENT GRO,1
DIFFERENTIAL LOCKING HEAVY-DUTY REAR,DIFFERENTIAL LOCKING HEAVY-DUT,3
ENGINE VORTEC 5300 V8 SFI WITH ACTIVE,ENGINE VORTEC 5300 V8 SFI WITH,1
AIR CLEANER HIGH-CAPACITY,AIR CLEANER HIGH-CAPACITY,7
ALL-STAR EDITION INCLUDES VORTEC 5.3L,ALL-STAR EDITION INCLUDES VORT,2
CONVENIENCE PACKAGE INCLUDES (JF4) ADJU,CONVENIENCE PKG INCLUDES (JF4),133
DEFOGGER REAR-WINDOW ELECTRIC,DEFOGGER REAR-WINDOW ELECTRIC,192
DIFFERENTIAL HEAVY-DUTY AUTOMATIC LOCKI,DIFFERENTIAL HEAVY-DUTY AUTOMA,27
ENGINE VORTEC 5.3L VARIABLE VALVE TIMIN,ENGINE VORTEC 5.3L VARIABLE VA,361
FOG LAMPS FRONT HALOGEN,FOG LAMPS FRONT HALOGEN,160
HEAVY DUTY COOLING PACKAGE HEAVY-DUTY,HEAVY DUTY COOLING PKG HEAVY-D,7
LT PREFERRED EQUIPMENT GROUP INCLUDES S,LT PREFERRED EQUIPMENT GROUP I,36
PEDALS POWER-ADJUSTABLE FOR ACCELERATOR,PEDALS POWER-ADJUSTABLE FOR AC,8
REAR AXLE 3.42 RATIO,REAR AXLE 3.42 RATIO,476
REAR PARKING ASSIST ULTRASONIC WITH AU,REAR PARKING ASSIST ULTRASONIC,6
RECOVERY HOOKS CHROME,RECOVERY HOOKS CHROME,1
REMOTE VEHICLE STARTER SYSTEM INCLUDES,REMOTE VEHICLE STARTER SYS INC,5
SEATS FRONT 40/20/40 SPLIT-BENCH 3-PAS,SEATS FRONT 40/20/40 SPLIT-BEN,28
SHEER SILVER METALLIC,SHEER SILVER METALLIC,3
STEERING WHEEL CONTROLS MOUNTED AUDIO C,STEERING WHEEL CONTROLS MOUNTE,14
TAILGATE EZ-LIFT,TAILGATE EZ-LIFT,7
TIRES P265/65R18 ON-/OFF-ROAD WHITE O,TIRES P265/65R18 ON-/OFF-ROAD ,143
TRAILERING PACKAGE HEAVY-DUTY INCLUDES,TRAILERING PKG HEAVY-DUTY INCL,131
TRANSMISSION 6-SPEED AUTOMATIC,TRANSMISSION 6-SPEED AUTOMATIC,110
UNIVERSAL HOME REMOTE,UNIVERSAL HOME REMOTE,13
WINDOW POWER REAR SLIDING,WINDOW POWER REAR SLIDING,73
Z71 APPEARANCE PACKAGE INCLUDES (N87),Z71 APPEARANCE PKG INCLUDES (N,29
COOLING AUXILIARY EXTERNAL TRANSMISSION,COOLING AUXILIARY EXTERNAL TRA,5
COOLING EXTERNAL ENGINE OIL COOLER HEA,COOLING EXTERNAL ENGINE OIL CO,5
GVWR 7000 LBS. (3175 KG) (STD),GVWR 7000 LBS. (3175 KG) (STD),276
LICENSE PLATE BRACKET FRONT (WILL BE F,LICENSE PLATE BRACKET FRONT (W,1
TAILGATE LOCKING,TAILGATE LOCKING,9
WHEELS 4 - 18 X 8 (45.7 CM X 20.3,WHEELS 4 - 18 X 8 (45.7 CM X 2,172
AIR CONDITIONING DUAL-ZONE AUTOMATIC CL,AIR CONDITIONING DUAL-ZONE AUT,11
ALL-TERRAIN PACKAGE INCLUDES (Z71) OFF,ALL-TERRAIN PKG INCLUDES (Z71),1
AUDIO SYSTEM FEATURE USB PORT,AUDIO SYS FEATURE USB PORT,6
MIRROR INSIDE REARVIEW AUTO-DIMMING,MIRROR INSIDE REARVIEW AUTO-DI,21
SEAT ADJUSTER FRONT PASSENGER 6-WAY POW,SEAT ADJUSTER FRONT PASSENGER ,5
SEATS FRONT BUCKET INCLUDES 6-WAY (AG1,SEATS FRONT BUCKET INCLUDES 6-,73
STORM GRAY METALLIC,STORM GRAY METALLIC,1
TIRES P265/65R18 ON-/OFF-ROAD BLACKWAL,TIRES P265/65R18 ON-/OFF-ROAD ,1
FLOOR COVERING BLACK RUBBERIZED-VINYL,FLOOR COVERING BLACK RUBBERIZE,1
INTERIOR PLUS PACKAGE INCLUDES (AG1) DR,INTERIOR + PKG INCLUDES (AG1) ,42
POWER PACK PLUS INCLUDES VORTEC 5.3L V,POWER PKG + INCLUDES VORTEC 5.,1
TIRES P265/65R18 ON-/OFF-ROAD BLACKWA,TIRES P265/65R18 ON-/OFF-ROAD ,1
GVWR 7000 LBS. (3175 KG),GVWR 7000 LBS. (3175 KG),2
MOCHA STEEL METALLIC,MOCHA STEEL METALLIC,8
SLE PREFERRED EQUIPMENT GROUP INCLUDES,SLE PREFERRED EQUIPMENT GROUP ,2
TIRES P265/70R17 ON-/OFF-ROAD BLACKWAL,TIRES P265/70R17 ON-/OFF-ROAD ,17
VERY DARK CASHMERE/LIGHT CASHMERE PREMI,VERY DARK CASHMERE/LIGHT CASHM,1
WHEELS 4 - 17 X 7.5 (43.2 CM X 19.,WHEELS 4 - 17 X 7.5 (43.2 CM X,6
MIDNIGHT BLUE METALLIC,MIDNIGHT BLUE METALLIC,1
POWER TECH PACKAGE INCLUDES VORTEC 5.3,POWER TECH INCLUDES VORTEC 5.3,13
LTZ PREFERRED EQUIPMENT GROUP INCLUDES,LTZ PREFERRED EQUIPMENT GROUP ,3
MIRROR INSIDE REARVIEW WITH REAR CAMERA,MIRROR INSIDE REARVIEW WITH RE,1
REAR AXLE 3.08 RATIO,REAR AXLE 3.08 RATIO,86
EXHAUST BRAKE,EXHAUST BRAKE,2
PROVISION FOR CAB ROOF-MOUNTED LAMP/BEAC,PROVISION FOR CAB ROOF-MOUNTED,2
TIRES LT265/70R18E ALL-TERRAIN BLACKWA,TIRES LT265/70R18E ALL-TERRAIN,10
